no,short,long,working,island_group,population,working_no,GISAID,color,redcap
1,Region I,Ilocos,Ilocos,Luzon,5220807,2,Ilocos,#ad7484,Region I (Ilocos Region)
2,Region II,Cagayan Valley,Cagayan Valley,Luzon,3657741,4,Cagayan Valley,#09f54c,Region II (Cagayan Valley)
3,Region III,Central Luzon,Central Luzon,Luzon,12313718,5,Central Luzon,#e49c4f,Region III (Central Luzon)
4,Region IV-A,CALABARZON,Calabarzon,Luzon,16057099,6,Calabarzon,#f76015,Region IV-A (CALABARZON)
5,Region IV-B,MIMAROPA,Mimaropa,Luzon,3174859,7,Mimaropa,#1d8a20,Region IV-B (Mimaropa)
6,Region V,Bicol,Bicol,Luzon,6139836,8,Bicol,#fd6ca0,Region V (Bicol Region)
7,Region VI,Western Visayas,Western Visayas,Visayas,7984899,9,Western Visayas,#2c97e0,Region VI (Western Visayas)
8,Region VII,Central Visayas,Central Visayas,Visayas,7357649,10,Central Visayas,#3f4c08,Region VII (Central Visayas)
9,Region VIII,Eastern Visayas,Eastern Visayas,Visayas,4792337,11,Eastern Visayas,#b71c41,Region VIII (Eastern Visayas)
10,Region IX,Zamboanga Peninsula,Zamboanga Peninsula,Mindanao,3782981,12,Zamboanga Peninsula,#7adc6e,Region IX (Zamboanga Peninsula)
11,Region X,Northern Mindanao,Northern Mindanao,Mindanao,5017057,13,Northern Mindanao,#914c0f,Region X (Northern Mindanao)
12,Region XI,Davao,Davao,Mindanao,5290869,14,Davao Region,#245a62,Region XI (Davao Region)
13,Region XII,SOCCSKSARGEN,Soccsksargen,Mindanao,4919936,15,Soccsksargen,#ebb9c7,Region XII (Soccsksargen)
14,Region XIII,Caraga,Caraga,Mindanao,2753109,16,Caraga,#d3dc5d,Region XIII (Caraga)
15,NCR,National Capital Region,NCR,Luzon,13894656,1,National Capital Region,#643b47,National Capital Region (NCR)
16,CAR,Cordillera Administrative Region,CAR,Luzon,1807738,3,Cordillera Administrative Region,#572b9e,Cordillera Administrative Region (CAR)
17,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,BARMM,Mindanao,4183316,17,Bangsamoro Autonomous Region in Muslim Mindanao,#64baaa,Autonomous Region In Muslim Mindanao (ARMM)